mesec,obcina,drzava,meritev,vrednost
2020M01,Maribor,0 Država - SKUPAJ,Prihodi turistov,11453
2020M01,Maribor,0 Država - SKUPAJ,Prenočitve turistov,30507
2020M01,Maribor,1 DOMAČI,Prihodi turistov,2014
2020M01,Maribor,1 DOMAČI,Prenočitve turistov,3884
2020M01,Maribor,2 TUJI,Prihodi turistov,9439
2020M01,Maribor,2 TUJI,Prenočitve turistov,26623
2020M01,Maribor,2.1 Avstrija,Prihodi turistov,601
2020M01,Maribor,2.1 Avstrija,Prenočitve turistov,945
2020M01,Maribor,2.2 Belgija,Prihodi turistov,42
2020M01,Maribor,2.2 Belgija,Prenočitve turistov,94
2020M01,Maribor,2.3 Bolgarija,Prihodi turistov,108
2020M01,Maribor,2.3 Bolgarija,Prenočitve turistov,240
2020M01,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,841
2020M01,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,1682
2020M01,Maribor,2.5 Ciper,Prihodi turistov,
2020M01,Maribor,2.5 Ciper,Prenočitve turistov,
2020M01,Maribor,2.6 Češka republika,Prihodi turistov,177
2020M01,Maribor,2.6 Češka republika,Prenočitve turistov,762
2020M01,Maribor,2.7 Črna gora,Prihodi turistov,206
2020M01,Maribor,2.7 Črna gora,Prenočitve turistov,623
2020M01,Maribor,2.8 Danska,Prihodi turistov,11
2020M01,Maribor,2.8 Danska,Prenočitve turistov,30
2020M01,Maribor,2.9 Estonija,Prihodi turistov,14
2020M01,Maribor,2.9 Estonija,Prenočitve turistov,32
2020M01,Maribor,2.10 Finska,Prihodi turistov,7
2020M01,Maribor,2.10 Finska,Prenočitve turistov,15
2020M01,Maribor,2.11 Francija,Prihodi turistov,97
2020M01,Maribor,2.11 Francija,Prenočitve turistov,222
2020M01,Maribor,2.12 Grčija,Prihodi turistov,15
2020M01,Maribor,2.12 Grčija,Prenočitve turistov,53
2020M01,Maribor,2.13 Hrvaška,Prihodi turistov,1607
2020M01,Maribor,2.13 Hrvaška,Prenočitve turistov,4740
2020M01,Maribor,2.14 Irska,Prihodi turistov,18
2020M01,Maribor,2.14 Irska,Prenočitve turistov,75
2020M01,Maribor,2.15 Islandija,Prihodi turistov,
2020M01,Maribor,2.15 Islandija,Prenočitve turistov,
2020M01,Maribor,2.16 Italija,Prihodi turistov,534
2020M01,Maribor,2.16 Italija,Prenočitve turistov,1361
2020M01,Maribor,2.17 Latvija,Prihodi turistov,5
2020M01,Maribor,2.17 Latvija,Prenočitve turistov,14
2020M01,Maribor,2.18 Litva,Prihodi turistov,8
2020M01,Maribor,2.18 Litva,Prenočitve turistov,82
2020M01,Maribor,2.19 Luksemburg,Prihodi turistov,1
2020M01,Maribor,2.19 Luksemburg,Prenočitve turistov,4
2020M01,Maribor,2.20 Madžarska,Prihodi turistov,713
2020M01,Maribor,2.20 Madžarska,Prenočitve turistov,1886
2020M01,Maribor,2.21 Makedonija,Prihodi turistov,85
2020M01,Maribor,2.21 Makedonija,Prenočitve turistov,243
2020M01,Maribor,2.22 Malta,Prihodi turistov,8
2020M01,Maribor,2.22 Malta,Prenočitve turistov,8
2020M01,Maribor,2.23 Nemčija,Prihodi turistov,758
2020M01,Maribor,2.23 Nemčija,Prenočitve turistov,1704
2020M01,Maribor,2.24 Nizozemska,Prihodi turistov,80
2020M01,Maribor,2.24 Nizozemska,Prenočitve turistov,184
2020M01,Maribor,2.25 Norveška,Prihodi turistov,10
2020M01,Maribor,2.25 Norveška,Prenočitve turistov,14
2020M01,Maribor,2.26 Poljska,Prihodi turistov,160
